model,n,MAE,RMSE,MAPE,station_id
MA7,125,0.8456,1.0623,10.78,1
ES Holt,127,0.7871,0.9644,10.01,1
MA7,125,0.7146,0.9023,9.17,2
ES Holt,127,0.6904,0.8531,8.86,2
MA7,125,0.843,1.063,10.87,3
ES Holt,127,0.7736,0.9987,10.04,3
MA7,125,0.8789,1.1377,11.33,4
ES Holt,127,0.8031,1.0566,10.36,4
MA7,125,0.7904,0.9994,10.42,5
ES Holt,127,0.7509,0.9338,9.97,5
MA7,125,0.7902,1.0047,9.91,6
ES Holt,127,0.71,0.9202,8.92,6
MA7,125,0.6459,0.8627,8.28,7
ES Holt,127,0.6207,0.8084,7.99,7
MA7,125,0.7405,0.9844,9.6,8
ES Holt,127,0.6929,0.9175,9.0,8
MA7,125,0.7856,1.0012,10.32,9
ES Holt,127,0.7354,0.9315,9.62,9
MA7,125,0.8309,1.0574,10.43,10
ES Holt,127,0.79,0.9851,9.89,10
